source_center,destination_center,route_type,time_bucket,observation_count,median_osrm_time_min,median_actual_movement_min,median_actual_elapsed_min,median_movement_delay_ratio,median_excess_min,breach_rate,chronic_delay
IND110035AAC,IND110037AAM,Carting,morning,1,18.0,30.0,415.0,1.6666666666666667,12.0,1.0,False
IND110037AAK,IND000000ACB,Carting,afternoon,1,40.0,56.0,243.0,1.4,16.0,1.0,False
IND110037AAK,IND000000ACB,Carting,evening,19,38.0,64.0,217.0,1.6842105263157894,26.0,1.0,True
IND110037AAK,IND000000ACB,Carting,morning,1,38.0,70.0,172.0,1.8421052631578947,32.0,1.0,False
IND110037AAK,IND000000ACB,Carting,night,13,38.0,108.0,340.0,2.918918918918919,71.0,1.0,True
IND110037AAM,IND000000ACB,FTL,night,12,43.0,66.5,324.5,1.5424418604651162,23.0,1.0,True
IND110037AAM,IND110020AAB,Carting,morning,6,25.5,100.5,211.5,3.880740740740741,74.5,1.0,True
IND110037AAM,IND110024AAA,Carting,night,11,24.0,66.0,221.0,2.72,42.0,1.0,True
IND110037AAM,IND110035AAC,Carting,evening,12,21.0,31.5,124.5,1.6171052631578946,12.0,0.75,True
IND110037AAM,IND110035AAC,Carting,morning,12,20.5,57.5,221.0,3.045238095238095,39.0,1.0,True
IND110037AAM,IND110035AAC,Carting,night,1,27.0,210.0,233.0,7.777777777777778,183.0,1.0,False
IND110037AAM,IND110064AAA,Carting,night,1,16.0,35.0,222.0,2.1875,19.0,1.0,False
IND110037AAM,IND110085AAB,Carting,night,14,24.5,49.5,215.0,2.0384615384615383,25.0,1.0,True
IND110037AAM,IND110092AAC,Carting,night,1,31.0,68.0,211.0,2.193548387096774,37.0,1.0,False
IND110037AAM,IND121004AAB,Carting,afternoon,10,26.5,65.5,114.5,2.3293650793650795,36.5,1.0,True
IND110037AAM,IND121004AAB,Carting,evening,13,26.0,45.0,111.0,1.793103448275862,20.0,1.0,True
IND110037AAM,IND121004AAB,Carting,night,12,30.0,104.5,139.0,3.3833333333333333,72.5,1.0,True
IND110037AAM,IND125001AAA,FTL,night,1,133.0,534.0,840.0,4.015037593984962,401.0,1.0,False
IND110037AAM,IND131028AAB,Carting,morning,1,57.0,126.0,315.0,2.210526315789474,69.0,1.0,False
IND110037AAM,IND201001AAC,Carting,evening,1,46.0,129.0,188.0,2.8043478260869565,83.0,1.0,False
IND110037AAM,IND201007AAA,Carting,night,6,34.5,88.0,253.0,2.492016806722689,52.5,1.0,True
IND110037AAM,IND201301AAD,Carting,morning,1,37.0,169.0,257.0,4.5675675675675675,132.0,1.0,False
IND110037AAM,IND201301AAD,Carting,night,2,36.0,138.5,263.0,3.877606177606178,102.5,1.0,False
IND110037AAM,IND201301AAF,Carting,night,5,39.0,84.0,240.0,2.1538461538461537,45.0,1.0,True
IND110037AAM,IND202001AAB,FTL,afternoon,10,129.0,225.0,518.0,1.737298747763864,95.5,1.0,True
IND110037AAM,IND202001AAB,FTL,morning,1,129.0,235.0,378.0,1.821705426356589,106.0,1.0,False
IND110037AAM,IND202001AAB,FTL,night,9,130.0,258.0,438.0,1.9846153846153847,128.0,1.0,True
IND110037AAM,IND209304AAA,FTL,evening,3,335.0,700.0,754.0,2.095808383233533,366.0,1.0,False
IND110037AAM,IND209304AAA,FTL,morning,1,333.0,702.0,1143.0,2.108108108108108,369.0,1.0,False
IND110037AAM,IND209304AAA,FTL,night,14,335.5,727.0,1032.0,2.1669065387348967,391.5,1.0,True
IND110037AAM,IND226004AAC,FTL,evening,1,375.0,686.0,1041.0,1.8293333333333333,311.0,1.0,False
IND110037AAM,IND282001AAA,FTL,morning,1,151.0,563.0,718.0,3.728476821192053,412.0,1.0,False
IND110037AAM,IND282001AAA,FTL,night,1,148.0,298.0,456.0,2.0135135135135136,150.0,1.0,False
IND110037AAM,IND282001AAC,FTL,night,1,151.0,318.0,459.0,2.1059602649006623,167.0,1.0,False
IND110037AAM,IND282002AAD,FTL,afternoon,1,151.0,297.0,555.0,1.966887417218543,146.0,1.0,False
IND110037AAM,IND421302AAG,FTL,evening,2,997.5,2013.0,2410.5,2.0179788221956896,1015.5,1.0,False
IND110037AAM,IND421302AAG,FTL,night,11,997.0,2009.0,2315.0,2.0150451354062184,1012.0,1.0,True
IND110037AAM,IND811399AAA,FTL,afternoon,4,36.0,95.5,286.5,2.684984520123839,59.5,0.75,False
IND110037AAM,IND811399AAA,FTL,evening,3,37.0,41.0,173.0,1.1081081081081081,4.0,0.3333333333333333,False
IND110039AAA,IND110085AAB,Carting,morning,2,15.5,53.0,109.0,3.4291666666666667,37.5,1.0,False
IND110039AAA,IND110085AAB,Carting,night,1,14.0,90.0,189.0,6.428571428571429,76.0,1.0,False
IND110043AAA,IND000000ACB,Carting,evening,2,39.0,126.5,212.0,3.1960526315789473,87.5,1.0,False
IND110043AAA,IND000000ACB,Carting,morning,1,40.0,345.0,392.0,8.625,305.0,1.0,False
IND110043AAA,IND000000ACB,Carting,night,2,40.0,172.5,208.5,4.3125,132.5,1.0,False
IND110043AAA,IND110078AAA,Carting,morning,11,22.0,39.0,74.0,1.7,16.0,1.0,True
IND110043AAA,IND110078AAA,Carting,night,11,21.0,35.0,78.0,1.6666666666666667,14.0,0.9090909090909091,True
IND110043AAC,IND000000ACB,Carting,evening,1,58.0,94.0,233.0,1.6206896551724137,36.0,1.0,False
IND110044AAB,IND000000ACB,Carting,afternoon,26,61.0,112.0,190.5,1.7633928571428572,48.5,1.0,True
IND110044AAB,IND000000ACB,Carting,evening,25,61.0,102.0,192.0,1.6885245901639345,42.0,1.0,True
IND110044AAB,IND000000ACB,Carting,morning,8,61.0,128.0,206.5,2.0983606557377046,67.0,1.0,True
IND110044AAB,IND110030AAD,Carting,afternoon,3,16.0,25.0,113.0,1.5555555555555556,9.0,1.0,False
IND110044AAB,IND110030AAD,Carting,evening,19,15.0,25.0,86.0,1.7333333333333334,11.0,1.0,True
IND110044AAB,IND110037AAM,Carting,night,3,23.0,43.0,132.0,2.0476190476190474,22.0,1.0,False
IND110044AAB,IND131028AAB,Carting,afternoon,15,53.0,114.0,168.0,2.111111111111111,60.0,1.0,True
IND110044AAB,IND131028AAB,Carting,evening,13,53.0,72.0,243.0,1.3584905660377358,19.0,1.0,True
